"Date","Price","Open","High","Low","Vol.","Change %"
"09-07-2025","25,530.00","25,581.50","25,640.00","25,510.00","37.94K","-0.29%"
"08-07-2025","25,604.00","25,484.50","25,634.00","25,484.00","40.59K","0.34%"
"07-07-2025","25,516.00","25,500.50","25,572.50","25,445.50","32.60K","-0.04%"
"04-07-2025","25,527.00","25,564.50","25,575.50","25,400.00","37.71K","0.13%"
"03-07-2025","25,495.00","25,554.00","25,669.00","25,479.00","53.91K","-0.14%"
"02-07-2025","25,531.00","25,704.00","25,705.00","25,477.00","40.94K","-0.49%"
"01-07-2025","25,656.50","25,622.00","25,712.00","25,601.50","41.07K","0.22%"
"30-06-2025","25,601.00","25,754.00","25,798.00","25,543.00","48.83K","-0.70%"
"27-06-2025","25,781.50","25,714.00","25,805.00","25,642.50","42.00K","0.91%"
"26-06-2025","25,549.00","25,291.00","25,558.50","25,270.50","54.94K","1.14%"
"25-06-2025","25,261.00","25,171.50","25,327.00","25,130.00","62.29K","0.73%"
"24-06-2025","25,077.50","25,102.00","25,349.50","25,033.50","114.38K","0.40%"
"23-06-2025","24,978.00","24,939.50","25,086.00","24,818.00","102.68K","-0.60%"
"20-06-2025","25,129.00","24,780.00","25,159.50","24,775.00","82.30K","1.38%"
"19-06-2025","24,787.50","24,780.00","24,883.00","24,713.00","35.30K","-0.09%"
"18-06-2025","24,810.00","24,790.50","24,982.00","24,761.00","46.93K","-0.21%"
"17-06-2025","24,863.00","25,008.50","25,016.50","24,795.00","45.66K","-0.55%"
"16-06-2025","25,001.00","24,760.50","25,099.50","24,744.00","52.84K","1.06%"
"13-06-2025","24,739.50","24,882.50","24,882.50","24,560.50","64.49K","-0.74%"
"12-06-2025","24,925.00","25,206.00","25,272.50","24,891.00","58.17K","-1.10%"
"11-06-2025","25,201.00","25,200.50","25,307.50","25,136.00","39.57K","0.22%"
"10-06-2025","25,144.50","25,244.00","25,267.50","25,131.00","36.50K","-0.15%"
"09-06-2025","25,181.50","25,143.00","25,246.00","25,143.00","33.45K","0.33%"
"06-06-2025","25,098.50","24,849.50","25,188.00","24,736.00","57.68K","0.98%"
"05-06-2025","24,854.50","24,755.50","25,010.50","24,711.00","57.41K","0.56%"
"04-06-2025","24,716.00","24,702.50","24,761.50","24,624.50","35.04K","0.21%"
"03-06-2025","24,664.50","24,876.50","24,945.00","24,610.00","61.83K","-0.43%"
"02-06-2025","24,770.00","24,935.00","24,935.00","24,587.00","52.92K","-0.27%"
"30-05-2025","24,837.00","24,950.50","24,975.50","24,801.00","51.49K","0.01%"
"29-05-2025","24,833.60","24,777.50","24,898.00","24,658.00","39.00K","0.32%"
"28-05-2025","24,755.50","24,862.50","24,901.00","24,696.50","52.22K","-0.43%"
"27-05-2025","24,861.50","25,027.50","25,099.50","24,734.50","106.14K","-0.75%"
"26-05-2025","25,049.00","24,920.00","25,119.00","24,910.00","84.67K","0.67%"
"23-05-2025","24,883.00","24,696.50","24,960.50","24,629.00","74.90K","0.92%"
"22-05-2025","24,655.00","24,754.50","24,792.00","24,507.00","66.58K","-0.70%"
"21-05-2025","24,830.00","24,805.00","25,028.00","24,728.50","59.82K","0.22%"
"20-05-2025","24,774.50","25,112.00","25,112.00","24,749.50","53.74K","-0.87%"
"19-05-2025","24,991.50","25,099.00","25,118.00","24,952.00","46.20K","-0.39%"
"16-05-2025","25,089.00","25,220.00","25,220.00","25,003.00","47.89K","0.04%"
"15-05-2025","25,078.50","24,767.00","25,222.50","24,590.50","79.50K","1.47%"
"14-05-2025","24,714.50","24,747.00","24,829.00","24,577.50","61.03K","0.32%"
"13-05-2025","24,636.00","24,959.50","25,042.50","24,604.00","112.79K","-1.75%"
"12-05-2025","25,075.00","24,406.50","25,082.00","24,406.50","94.61K","4.09%"
"09-05-2025","24,090.00","23,835.50","24,236.00","23,835.50","85.49K","-0.41%"
"08-05-2025","24,189.00","24,364.50","24,514.50","23,754.50","86.16K","-0.94%"
"07-05-2025","24,418.00","24,261.50","24,555.00","24,227.00","66.55K","0.01%"
"06-05-2025","24,414.50","24,599.00","24,610.50","24,125.00","48.34K","-0.60%"
"05-05-2025","24,561.00","24,524.50","24,645.50","24,480.00","50.06K","0.65%"
"02-05-2025","24,403.50","24,402.50","24,738.00","24,313.50","75.22K","-0.14%"
"01-05-2025","24,437.00","24,379.50","24,464.50","24,257.50","9.57K","0.17%"
