"Date","Price","Open","High","Low","Vol.","Change %"
"12/09/2024","2,673.30","2,654.50","2,687.00","2,637.50","0.96K","0.99%"
"12/06/2024","2,647.10","2,642.40","2,655.00","2,629.50","0.80K","0.42%"
"12/05/2024","2,636.10","2,661.90","2,667.30","2,634.50","1.67K","-1.06%"
"12/04/2024","2,664.30","2,651.30","2,670.00","2,643.80","0.85K","0.32%"
"12/03/2024","2,655.90","2,652.00","2,665.00","2,645.00","0.61K","0.36%"
"12/02/2024","2,646.50","2,663.70","2,663.90","2,633.50","0.97K","-0.84%"
"11/29/2024","2,669.00","2,649.70","2,678.10","2,631.80","1.35K","0.63%"
"11/27/2024","2,652.30","2,646.40","2,670.70","2,641.10","2.27K","1.18%"
"11/26/2024","2,621.30","2,626.20","2,642.70","2,605.30","177.86K","0.11%"
"11/25/2024","2,618.50","2,716.90","2,723.20","2,616.60","305.34K","-3.45%"
"11/22/2024","2,712.20","2,672.00","2,718.50","2,670.10","220.55K","1.39%"
"11/21/2024","2,674.90","2,653.50","2,676.50","2,651.60","186.30K","0.87%"
"11/20/2024","2,651.70","2,635.80","2,659.00","2,621.90","182.01K","0.79%"
"11/19/2024","2,631.00","2,616.30","2,643.40","2,614.20","202.24K","0.63%"
"11/18/2024","2,614.60","2,571.50","2,619.50","2,568.50","195.29K","1.73%"
"11/15/2024","2,570.10","2,570.40","2,580.80","2,558.90","179.89K","-0.11%"
"11/14/2024","2,572.90","2,578.10","2,585.80","2,541.50","266.16K","-0.53%"
"11/13/2024","2,586.50","2,604.70","2,625.00","2,578.10","262.75K","-0.76%"
"11/12/2024","2,606.30","2,625.70","2,633.40","2,595.70","282.77K","-0.44%"
"11/11/2024","2,617.70","2,692.10","2,693.40","2,617.10","281.92K","-2.86%"
"11/08/2024","2,694.80","2,713.60","2,717.80","2,687.30","233.11K","-0.41%"
"11/07/2024","2,705.80","2,667.70","2,718.30","2,650.30","292.92K","1.10%"
"11/06/2024","2,676.30","2,752.60","2,758.80","2,660.70","361.31K","-2.67%"
"11/05/2024","2,749.70","2,746.00","2,759.50","2,733.40","151.43K","0.13%"
"11/04/2024","2,746.20","2,743.50","2,757.50","2,739.40","145.25K","-0.11%"
"11/01/2024","2,749.20","2,754.00","2,772.40","2,742.60","180.66K","0.00%"
"10/31/2024","2,749.30","2,799.10","2,801.20","2,741.80","242.57K","-1.84%"
"10/30/2024","2,800.80","2,786.90","2,801.80","2,782.40","191.55K","1.16%"
"10/29/2024","2,768.80","2,741.90","2,773.20","2,741.90","0.85K","0.92%"
"10/28/2024","2,743.60","2,739.40","2,745.60","2,725.80","0.57K","0.05%"
"10/25/2024","2,742.20","2,735.40","2,747.20","2,716.90","0.26K","0.21%"
"10/24/2024","2,736.50","2,717.40","2,743.30","2,717.40","0.34K","0.71%"
"10/23/2024","2,717.10","2,748.90","2,758.50","2,709.90","0.65K","-1.10%"
"10/22/2024","2,747.40","2,723.10","2,749.50","2,721.80","0.43K","0.76%"
"10/21/2024","2,726.80","2,724.30","2,742.60","2,716.90","0.41K","0.32%"
"10/18/2024","2,718.00","2,696.20","2,725.60","2,696.20","0.22K","0.83%"
"10/17/2024","2,695.50","2,676.90","2,700.50","2,676.90","0.27K","0.60%"
"10/16/2024","2,679.30","2,666.80","2,689.50","2,666.00","0.38K","0.46%"
"10/15/2024","2,667.00","2,654.60","2,673.80","2,643.10","0.24K","0.50%"
"10/14/2024","2,653.70","2,659.90","2,671.30","2,648.40","0.39K","-0.40%"
"10/11/2024","2,664.40","2,634.40","2,666.80","2,634.40","0.31K","1.41%"
"10/10/2024","2,627.40","2,614.80","2,636.90","2,608.80","0.88K","0.51%"
"10/09/2024","2,614.10","2,628.80","2,630.60","2,612.00","0.77K","-0.36%"
"10/08/2024","2,623.50","2,649.60","2,660.40","2,612.70","1.05K","-1.15%"
"10/07/2024","2,654.00","2,658.80","2,666.60","2,646.00","0.39K","-0.08%"
"10/04/2024","2,656.00","2,663.00","2,678.20","2,641.90","0.85K","-0.43%"
"10/03/2024","2,667.40","2,668.30","2,670.70","2,646.50","0.65K","0.35%"
"10/02/2024","2,658.10","2,671.10","2,672.40","2,653.30","0.34K","-0.76%"
"10/01/2024","2,678.50","2,644.40","2,681.70","2,644.40","0.46K","1.16%"
"09/30/2024","2,647.90","2,667.90","2,675.20","2,636.80","0.55K","-0.32%"
"09/27/2024","2,656.50","2,682.30","2,684.00","2,655.00","0.64K","-0.52%"
"09/26/2024","2,670.40","2,656.80","2,683.90","2,653.40","17.22K","0.36%"
"09/25/2024","2,660.70","2,658.70","2,670.50","2,649.80","21.76K","0.29%"
"09/24/2024","2,653.00","2,628.60","2,665.10","2,623.50","13.09K","0.93%"
"09/23/2024","2,628.60","2,622.50","2,635.70","2,615.40","8.70K","0.24%"
"09/20/2024","2,622.40","2,588.10","2,626.50","2,585.40","9.30K","1.22%"
"09/19/2024","2,590.90","2,561.60","2,597.00","2,552.10","8.60K","0.62%"
"09/18/2024","2,574.90","2,573.40","2,603.70","2,549.40","10.66K","0.23%"
"09/17/2024","2,568.90","2,586.30","2,590.00","2,564.10","6.95K","-0.63%"
"09/16/2024","2,585.20","2,584.80","2,593.40","2,578.80","4.57K","-0.06%"
"09/13/2024","2,586.80","2,565.10","2,590.60","2,562.00","10.05K","1.16%"
"09/12/2024","2,557.10","2,517.90","2,564.80","2,515.50","9.29K","1.51%"
"09/11/2024","2,519.00","2,522.00","2,534.40","2,505.70","4.91K","-0.02%"
"09/10/2024","2,519.50","2,511.60","2,523.90","2,505.60","5.90K","0.41%"
"09/09/2024","2,509.30","2,503.20","2,512.70","2,491.30","4.64K","0.31%"
"09/06/2024","2,501.50","2,523.70","2,536.10","2,490.70","6.27K","-0.72%"
"09/05/2024","2,519.70","2,502.30","2,530.50","2,500.70","6.72K","0.68%"
"09/04/2024","2,502.70","2,500.40","2,507.80","2,479.80","5.94K","0.12%"
"09/03/2024","2,499.70","2,509.00","2,516.30","2,481.60","10.28K","-0.19%"
"08/30/2024","2,504.50","2,530.70","2,536.20","2,503.90","6.48K","-1.27%"
"08/29/2024","2,536.70","2,516.60","2,538.70","2,513.80","10.79K","1.36%"
"08/28/2024","2,502.60","2,525.20","2,526.40","2,493.20","2.35K","-0.60%"
"08/27/2024","2,517.70","2,517.60","2,525.20","2,504.40","0.65K","-0.10%"
"08/26/2024","2,520.20","2,512.60","2,527.70","2,509.30","0.66K","0.36%"
"08/23/2024","2,511.20","2,486.20","2,518.70","2,486.10","0.75K","1.17%"
"08/22/2024","2,482.10","2,515.60","2,516.00","2,472.60","0.74K","-1.22%"
"08/21/2024","2,512.80","2,517.40","2,522.00","2,495.00","0.60K","-0.13%"
"08/20/2024","2,516.10","2,507.70","2,535.40","2,502.10","0.66K","0.37%"
"08/19/2024","2,506.80","2,512.80","2,513.80","2,489.30","0.78K","0.13%"
"08/16/2024","2,503.60","2,460.20","2,513.80","2,454.60","0.59K","1.83%"
"08/15/2024","2,458.60","2,452.00","2,471.80","2,437.10","0.53K","0.51%"
"08/14/2024","2,446.20","2,470.60","2,485.40","2,443.00","0.56K","-1.12%"
"08/13/2024","2,473.90","2,477.30","2,482.50","2,464.20","0.37K","0.16%"
"08/12/2024","2,469.90","2,436.00","2,478.00","2,430.00","0.73K","1.23%"
"08/09/2024","2,439.80","2,431.90","2,441.70","2,424.10","0.70K","0.39%"
"08/08/2024","2,430.30","2,389.50","2,433.90","2,388.00","0.58K","1.26%"
"08/07/2024","2,400.00","2,398.60","2,414.20","2,387.00","0.46K","0.05%"
"08/06/2024","2,398.90","2,420.90","2,431.20","2,390.20","0.50K","-0.53%"
"08/05/2024","2,411.80","2,458.50","2,466.10","2,373.80","1.13K","-1.00%"
"08/02/2024","2,436.20","2,456.40","2,487.60","2,420.50","2.46K","-0.40%"
"08/01/2024","2,445.90","2,458.80","2,470.80","2,439.10","1.15K","0.30%"
"07/31/2024","2,438.50","2,420.80","2,461.10","2,415.40","1.32K","0.86%"
"07/30/2024","2,417.60","2,392.80","2,422.40","2,388.80","3.57K","1.67%"
"07/29/2024","2,377.80","2,386.90","2,402.10","2,367.30","126.41K","-0.13%"
"07/26/2024","2,381.00","2,363.80","2,389.70","2,354.60","154.52K","1.17%"
"07/25/2024","2,353.50","2,398.10","2,400.80","2,351.90","294.90K","-2.57%"
"07/24/2024","2,415.70","2,410.70","2,433.00","2,397.00","245.88K","0.35%"
"07/23/2024","2,407.30","2,398.00","2,413.50","2,389.20","171.19K","0.53%"
"07/22/2024","2,394.70","2,403.70","2,414.40","2,385.20","197.56K","-0.18%"
"07/19/2024","2,399.10","2,448.00","2,448.40","2,395.70","254.41K","-2.33%"
"07/18/2024","2,456.40","2,462.50","2,478.50","2,442.90","192.77K","-0.14%"
"07/17/2024","2,459.90","2,473.20","2,488.40","2,455.50","259.54K","-0.32%"
"07/16/2024","2,467.80","2,427.10","2,474.50","2,424.50","246.09K","1.60%"
"07/15/2024","2,428.90","2,419.30","2,445.00","2,406.10","193.54K","0.34%"
"07/12/2024","2,420.70","2,421.00","2,423.20","2,396.10","220.93K","-0.05%"
"07/11/2024","2,421.90","2,377.40","2,430.40","2,376.80","303.52K","1.77%"
"07/10/2024","2,379.70","2,371.00","2,393.40","2,369.70","163.90K","0.50%"
"07/09/2024","2,367.90","2,366.50","2,378.30","2,356.00","252.49K","0.19%"
"07/08/2024","2,363.50","2,396.20","2,399.30","2,358.30","240.78K","-1.43%"
"07/05/2024","2,397.70","2,365.80","2,401.50","2,356.00","293.25K","1.40%"
"07/04/2024","2,364.60","2,367.20","2,371.05","2,359.35","","-0.20%"
"07/03/2024","2,369.40","2,338.60","2,374.50","2,335.70","193.64K","1.54%"
"07/02/2024","2,333.40","2,341.60","2,346.10","2,327.40","153.71K","-0.24%"
"07/01/2024","2,338.90","2,336.20","2,348.80","2,328.20","142.60K","-0.03%"
"06/28/2024","2,339.60","2,338.60","2,350.60","2,329.70","135.38K","0.13%"
"06/27/2024","2,336.60","2,309.40","2,342.00","2,306.80","140.23K","1.55%"
"06/26/2024","2,301.00","2,318.80","2,320.50","2,292.90","0.99K","-0.75%"
"06/25/2024","2,318.40","2,334.40","2,336.20","2,314.80","1.26K","-0.60%"
"06/24/2024","2,332.40","2,322.10","2,334.70","2,318.00","0.60K","0.57%"
"06/21/2024","2,319.10","2,361.50","2,370.00","2,318.00","0.60K","-1.61%"
"06/20/2024","2,357.00","2,331.40","2,367.00","2,327.00","0.83K","0.60%"
"06/19/2024","2,343.00","2,342.95","2,349.65","2,338.60","","0.35%"
"06/18/2024","2,334.80","2,323.30","2,334.50","2,309.10","0.39K","0.77%"
"06/17/2024","2,316.90","2,336.00","2,336.00","2,312.40","0.45K","-0.86%"
"06/14/2024","2,337.00","2,306.30","2,339.30","2,305.80","0.42K","1.35%"
"06/13/2024","2,305.90","2,328.40","2,330.20","2,299.20","0.65K","-1.57%"
"06/12/2024","2,342.70","2,321.70","2,345.10","2,315.70","0.60K","1.21%"
"06/11/2024","2,314.60","2,315.70","2,325.20","2,303.30","0.79K","-0.02%"
"06/10/2024","2,315.10","2,299.50","2,319.30","2,292.90","0.75K","0.08%"
"06/07/2024","2,313.20","2,383.60","2,394.30","2,293.10","1.30K","-2.76%"
"06/06/2024","2,378.90","2,363.80","2,385.20","2,361.40","0.88K","0.65%"
