Date,Price,Open,High,Low,Vol.,Change %
04/04/2025,51502.7,51711.6,51893.6,51360.4,189.61M,-0.18%
04/03/2025,51597.35,50910,51661.6,50906.65,291.16M,0.49%
04/02/2025,51348.05,50966.9,51404.2,50908.35,149.91M,1.02%
04/01/2025,50827.5,51178.15,51683.85,50742,176.32M,-1.43%
03/28/2025,51564.85,51608.4,51839.1,51335.35,171.15M,-0.02%
03/27/2025,51575.85,51084.7,51714.35,51050.85,415.77M,0.72%
03/26/2025,51209,51640.05,51875.8,51069.15,152.90M,-0.77%
03/25/2025,51607.95,51874.2,52063.95,51429.6,185.20M,-0.19%
03/24/2025,51704.95,50982.7,51801.15,50795.9,180.44M,2.20%
03/21/2025,50593.55,49927.1,50672.15,49891.95,225.50M,1.06%
03/20/2025,50062.85,49947.6,50155.3,49771.65,115.74M,0.72%
03/19/2025,49702.6,49375.4,49807.55,49324.8,137.64M,0.79%
03/18/2025,49314.5,48792.9,49400.3,48629.45,146.55M,1.99%
03/17/2025,48354.15,48219.55,48481.35,48196.1,131.27M,0.61%
03/13/2025,48060.4,48219.15,48352.45,48006.1,145.86M,0.01%
03/12/2025,48056.65,47894.4,48222.15,47844.95,243.28M,0.42%
03/11/2025,47853.95,47874.8,48029.05,47702.9,222.38M,-0.75%
03/10/2025,48216.8,48312,48599.15,48124.65,123.77M,-0.58%
03/07/2025,48497.5,48463.8,48709.05,48359.35,106.04M,-0.27%
03/06/2025,48627.7,48760,48839.1,48299.4,137.39M,0.28%
03/05/2025,48489.95,48241.3,48657.65,48190.25,127.80M,0.51%
03/04/2025,48245.2,47942.5,48374.9,47924.75,139.30M,0.27%
03/03/2025,48114.3,48478.6,48574.7,47841.3,151.03M,-0.48%
02/28/2025,48344.7,48437.55,48574.5,48078.7,287.72M,-0.82%
02/27/2025,48743.8,48732.2,48972.55,48627.1,186.73M,0.28%
02/25/2025,48608.35,48691.2,48862.15,48534.15,106.65M,-0.09%
02/24/2025,48651.95,48619.8,48748.4,48281.9,95.75M,-0.67%
02/21/2025,48981.2,49127.95,49306.55,48764,95.35M,-0.72%
02/20/2025,49334.55,49314.1,49455.8,49150.95,111.96M,-0.48%
02/19/2025,49570.1,48895.35,49628.25,48804,113.25M,0.98%
02/18/2025,49087.3,49211.85,49328.55,48814.95,107.78M,-0.35%
02/17/2025,49258.9,48880.4,49319,48525.6,114.81M,0.32%
02/14/2025,49099.45,49485.65,49592.95,48719.75,130.64M,-0.53%
